,Brand,Product Name,Subcategory,Neckline,Price,Location,Product Link,Image Link
0,H&M,Coated Tank Top,Ladies Tops Vests,Unknown,$34.99,Canada,https://www2.hm.com/en_ca/productpage.1253875003.html,assets/hm/58/67/58677e5b4bbafd0f63e6f3b586bf68ea7c97bc8c.jpg
1,H&M,Coated Tank Top,Ladies Tops Vests,Unknown,$34.99,Canada,https://www2.hm.com/en_ca/productpage.1253875002.html,assets/hm/ad/dc/addcd764a828da00829edf8db6b6db24d51ebff2.jpg
2,H&M,Mohair-Blend Rib-Knit Top,Ladies Tops Shortsleeve,Unknown,$59.99,Canada,https://www2.hm.com/en_ca/productpage.1254224001.html,assets/hm/56/b9/56b94286a933b9419105585975f4223974bbbfc2.jpg
3,H&M,Fine-Knit Turtleneck Top,Ladies Tops Shortsleeve,Unknown,$19.99,Canada,https://www2.hm.com/en_ca/productpage.1232418001.html,assets/hm/e8/05/e805496389e73326c3d5e361163ada37166d71c6.jpg
4,H&M,Long-sleeved Jersey Top,Ladies Tops Longsleeve,Unknown,$14.99,Canada,https://www2.hm.com/en_ca/productpage.1089811001.html,assets/hm/84/f6/84f638c69f62de4bf16b12b96f189b2672627760.jpg
5,H&M,Long-sleeved Jersey Top,Ladies Tops Longsleeve,Unknown,$14.99,Canada,https://www2.hm.com/en_ca/productpage.1089811013.html,assets/hm/b3/dd/b3dd24232f10af9a7ca60b0ee7d05cfa964a6a80.jpg
6,H&M,Oversized T-shirt,Ladies Basics Tops Shortsleeve,Unknown,$9.99,Canada,https://www2.hm.com/en_ca/productpage.1212700002.html,assets/hm/73/ff/73ff4952c65bb1222d868a0b4683e810eb9e74b7.jpg
7,H&M,Long-sleeved Microfiber Top,Ladies Basics Tops Longsleeve,Unknown,$24.99,Canada,https://www2.hm.com/en_ca/productpage.1191700001.html,assets/hm/d2/48/d248c1e4765a9721932873c1137953f2811226aa.jpg
8,H&M,Fitted T-shirt,Ladies Basics Tops Shortsleeve,Unknown,$14.99,Canada,https://www2.hm.com/en_ca/productpage.1142908008.html,assets/hm/8f/de/8fde102f6f0a8876d27ad79c145302727fb4620d.jpg
9,H&M,Fitted T-shirt,Ladies Basics Tops Shortsleeve,Unknown,$14.99,Canada,https://www2.hm.com/en_ca/productpage.1142908001.html,assets/hm/31/2d/312de7b1191523974ad9f68c02c87dddd06c5d89.jpg
10,H&M,Long-Sleeved Cotton Top,Ladies Basics Tops Longsleeve,Unknown,$14.99,Canada,https://www2.hm.com/en_ca/productpage.1240497001.html,assets/hm/85/88/858860370f3f375388aadf2a7c742727957e62c2.jpg
11,H&M,Oversized T-shirt,Ladies Basics Tops Shortsleeve,Unknown,$9.99,Canada,https://www2.hm.com/en_ca/productpage.1212700001.html,assets/hm/58/a6/58a662656fdf936772a22bedf63a2df4e2ba72a9.jpg
12,H&M,Oversized T-shirt,Ladies Basics Tops Shortsleeve,Unknown,$14.99,Canada,https://www2.hm.com/en_ca/productpage.1246290002.html,assets/hm/7e/f4/7ef43107aa554ff8d9a8456ab650c2dd17c0179a.jpg
13,H&M,Long-sleeved Microfiber Top,Ladies Basics Tops Longsleeve,Unknown,$24.99,Canada,https://www2.hm.com/en_ca/productpage.1191700013.html,assets/hm/d0/0d/d00d73c66b39b68bb0774afd24ccda3c40ee881f.jpg
14,H&M,Oversized Printed T-shirt,Ladies Tops Printed Tshirts,Unknown,$24.99,Canada,https://www2.hm.com/en_ca/productpage.1227727062.html,assets/hm/65/29/6529b4ccef4afc4fbe292f03a68e7525e61b2b7f.jpg
15,H&M,Ribbed T-shirt,Ladies Basics Tops Shortsleeve,Unknown,$9.99,Canada,https://www2.hm.com/en_ca/productpage.1222097002.html,assets/hm/1f/5e/1f5ef585d4eae6f1a8c6d9d035637629f1375356.jpg
16,H&M,Long-sleeved Top,Ladies Basics Tops Longsleeve,Unknown,$9.99,Canada,https://www2.hm.com/en_ca/productpage.1158565002.html,assets/hm/28/be/28be6b1071dd064a98401d3e3caa058401fa71c5.jpg
17,H&M,Oversized T-shirt,Ladies Basics Tops Shortsleeve,Unknown,$14.99,Canada,https://www2.hm.com/en_ca/productpage.1137208004.html,assets/hm/2a/7e/2a7e4c8d4ce213db442da52c611c45e73b4dc7a7.jpg
18,H&M,Long-Sleeved Cotton Top,Ladies Basics Tops Longsleeve,Unknown,$14.99,Canada,https://www2.hm.com/en_ca/productpage.1240497004.html,assets/hm/76/85/768569e62d580dda3a4a057c12c6304107d9492f.jpg
19,H&M,Fine-Knit Turtleneck Top,Ladies Tops Shortsleeve,Unknown,$19.99,Canada,https://www2.hm.com/en_ca/productpage.1232418007.html,assets/hm/c4/9d/c49d5729eb35eb3feb748fceef3b12af4afdb4d6.jpg
20,H&M,Turtleneck Top,Ladies Tops Longsleeve,Unknown,$14.99,Canada,https://www2.hm.com/en_ca/productpage.1089794027.html,assets/hm/1c/27/1c271a03abceb096e55a7c3de55f8b7224af3d52.jpg
21,H&M,Oversized Printed T-shirt,Ladies Tops Printed Tshirts,Unknown,$24.99,Canada,https://www2.hm.com/en_ca/productpage.1227727042.html,assets/hm/58/81/5881ddb7d7eeb4f7e4a9643c8ddaf9fff412aa6d.jpg
22,H&M,Cardigan Jacket in Scuba,Ladies Tops Longsleeve,Unknown,$44.99,Canada,https://www2.hm.com/en_ca/productpage.1245582002.html,assets/hm/c5/63/c5636e162af4917876bc33a91500ab620e9861e5.jpg
23,H&M,Ribbed Top with Overlocked Trim,Ladies Tops Lowcut,Unknown,$14.99,Canada,https://www2.hm.com/en_ca/productpage.1252034001.html,assets/hm/98/3a/983afd769a7ddd80049cf359db32e890d0e8e740.jpg
24,H&M,Ribbed Half-Zip Top,Ladies Tops Longsleeve,Unknown,$39.99,Canada,https://www2.hm.com/en_ca/productpage.1247731002.html,assets/hm/8c/d0/8cd050f6f0d601e0b096e17ab42878ced052b306.jpg
25,H&M,Ribbed T-shirt,Ladies Basics Tops Shortsleeve,Unknown,$9.99,Canada,https://www2.hm.com/en_ca/productpage.1235366009.html,assets/hm/18/a3/18a3f12aa1ff704140f5ceb75b0baffeede95a89.jpg
